Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
315.0,25.0,86.0,359.0,3512.0,285.0,431.0,1152.0,13679.0,899.0,21.0,274.0,416.0,3003.0,410.0,116.0,232.0,827.0,66.0,137.0,1437.0
320.0,25.0,86.0,359.0,3551.0,289.0,441.0,1167.0,13772.0,906.0,21.0,275.0,418.0,3066.0,415.0,116.0,235.0,842.0,67.0,137.0,1459.0
324.0,25.0,86.0,359.0,3579.0,294.0,482.0,1184.0,13860.0,911.0,21.0,278.0,423.0,3097.0,421.0,117.0,237.0,854.0,68.0,137.0,1479.0
327.0,25.0,88.0,362.0,3614.0,295.0,497.0,1195.0,14189.0,916.0,21.0,279.0,425.0,3126.0,422.0,119.0,240.0,863.0,68.0,137.0,1502.0
330.0,25.0,88.0,364.0,3642.0,297.0,508.0,1209.0,14231.0,927.0,22.0,281.0,429.0,3152.0,424.0,119.0,242.0,872.0,68.0,138.0,1516.0
332.0,25.0,88.0,366.0,3666.0,299.0,524.0,1221.0,14294.0,932.0,22.0,284.0,430.0,3186.0,429.0,119.0,244.0,881.0,70.0,139.0,1528.0
335.0,25.0,88.0,369.0,3705.0,303.0,534.0,1232.0,14389.0,936.0,22.0,286.0,433.0,3216.0,433.0,119.0,247.0,889.0,70.0,139.0,1545.0
341.0,25.0,89.0,376.0,3737.0,306.0,538.0,1243.0,14611.0,943.0,22.0,286.0,437.0,3247.0,438.0,119.0,250.0,899.0,70.0,139.0,1568.0
348.0,26.0,89.0,379.0,3766.0,308.0,543.0,1254.0,14745.0,948.0,22.0,286.0,438.0,3282.0,441.0,119.0,251.0,915.0,70.0,139.0,1589.0
351.0,26.0,90.0,386.0,3797.0,308.0,549.0,1265.0,14839.0,954.0,22.0,289.0,438.0,3305.0,443.0,119.0,253.0,930.0,71.0,139.0,1627.0
355.0,27.0,90.0,388.0,3827.0,308.0,553.0,1276.0,14924.0,958.0,22.0,290.0,438.0,3331.0,443.0,119.0,256.0,937.0,71.0,139.0,1643.0
359.0,27.0,91.0,391.0,3845.0,310.0,557.0,1281.0,14986.0,960.0,22.0,290.0,441.0,3367.0,448.0,120.0,256.0,942.0,71.0,139.0,1657.0
366.0,27.0,93.0,392.0,3867.0,312.0,562.0,1293.0,15054.0,964.0,22.0,290.0,443.0,3400.0,451.0,120.0,257.0,950.0,71.0,139.0,1666.0
370.0,27.0,93.0,393.0,3885.0,313.0,566.0,1301.0,15116.0,969.0,22.0,290.0,445.0,3428.0,456.0,120.0,261.0,959.0,71.0,140.0,1686.0
375.0,27.0,93.0,394.0,3905.0,316.0,577.0,1314.0,15185.0,971.0,22.0,290.0,446.0,3460.0,460.0,120.0,262.0,964.0,72.0,141.0,1712.0
379.0,27.0,95.0,394.0,3930.0,317.0,595.0,1329.0,15296.0,974.0,22.0,290.0,448.0,3493.0,461.0,125.0,263.0,973.0,73.0,141.0,1743.0
381.0,27.0,95.0,396.0,3943.0,318.0,604.0,1336.0,15411.0,977.0,22.0,290.0,451.0,3557.0,461.0,125.0,263.0,976.0,73.0,142.0,1762.0
383.0,27.0,95.0,396.0,3960.0,319.0,616.0,1346.0,15450.0,982.0,22.0,290.0,453.0,3594.0,463.0,125.0,265.0,979.0,73.0,142.0,1783.0
385.0,27.0,95.0,396.0,3973.0,319.0,622.0,1355.0,15519.0,984.0,22.0,290.0,453.0,3612.0,470.0,125.0,267.0,984.0,73.0,143.0,1794.0
388.0,27.0,95.0,399.0,3986.0,320.0,628.0,1367.0,15543.0,984.0,22.0,291.0,453.0,3632.0,471.0,126.0,267.0,989.0,73.0,143.0,1803.0
389.0,27.0,95.0,399.0,3997.0,320.0,640.0,1376.0,15597.0,986.0,22.0,291.0,455.0,3679.0,473.0,126.0,268.0,992.0,74.0,143.0,1820.0
389.0,27.0,96.0,401.0,4008.0,322.0,647.0,1386.0,15662.0,987.0,22.0,291.0,455.0,3718.0,478.0,126.0,268.0,998.0,74.0,143.0,1832.0
391.0,27.0,96.0,403.0,4025.0,323.0,662.0,1397.0,15727.0,990.0,22.0,291.0,455.0,3742.0,478.0,127.0,268.0,1004.0,74.0,143.0,1841.0
394.0,27.0,96.0,404.0,4037.0,325.0,669.0,1407.0,15784.0,990.0,22.0,291.0,455.0,3757.0,482.0,128.0,268.0,1009.0,74.0,143.0,1854.0
394.0,27.0,96.0,404.0,4047.0,327.0,676.0,1414.0,15840.0,993.0,22.0,291.0,456.0,3771.0,486.0,129.0,269.0,1011.0,74.0,143.0,1865.0
398.0,27.0,96.0,405.0,4055.0,329.0,684.0,1419.0,15840.0,994.0,22.0,291.0,457.0,3783.0,487.0,129.0,269.0,1013.0,75.0,143.0,1869.0
400.0,27.0,96.0,405.0,4068.0,329.0,688.0,1425.0,15874.0,995.0,22.0,291.0,458.0,3798.0,491.0,129.0,270.0,1015.0,75.0,143.0,1878.0
400.0,27.0,96.0,405.0,4076.0,329.0,693.0,1431.0,15896.0,996.0,22.0,291.0,461.0,3812.0,494.0,130.0,271.0,1021.0,75.0,143.0,1886.0
400.0,27.0,96.0,406.0,4083.0,331.0,701.0,1438.0,15954.0,996.0,22.0,291.0,462.0,3828.0,495.0,130.0,272.0,1027.0,75.0,143.0,1895.0
402.0,27.0,96.0,410.0,4094.0,333.0,708.0,1445.0,15974.0,997.0,22.0,291.0,462.0,3838.0,496.0,130.0,272.0,1029.0,75.0,143.0,1898.0
404.0,27.0,97.0,411.0,4102.0,333.0,721.0,1452.0,16012.0,986.0,22.0,291.0,462.0,3851.0,500.0,130.0,272.0,1031.0,76.0,143.0,1906.0
404.0,27.0,97.0,411.0,4107.0,333.0,728.0,1459.0,16079.0,987.0,22.0,291.0,462.0,3858.0,500.0,130.0,273.0,1037.0,76.0,143.0,1916.0
405.0,27.0,97.0,412.0,4114.0,333.0,735.0,1465.0,16112.0,987.0,22.0,291.0,462.0,3867.0,504.0,130.0,274.0,1041.0,76.0,143.0,1918.0
408.0,27.0,97.0,413.0,4124.0,335.0,739.0,1467.0,16131.0,987.0,22.0,291.0,462.0,3876.0,506.0,131.0,274.0,1048.0,76.0,143.0,1918.0
413.0,27.0,97.0,415.0,4136.0,336.0,741.0,1468.0,16143.0,987.0,22.0,291.0,463.0,3884.0,508.0,131.0,275.0,1053.0,76.0,143.0,1921.0
414.0,27.0,97.0,415.0,4147.0,336.0,747.0,1473.0,16172.0,987.0,22.0,291.0,463.0,3898.0,511.0,131.0,275.0,1055.0,76.0,143.0,1921.0
415.0,27.0,97.0,420.0,4154.0,336.0,750.0,1479.0,16201.0,988.0,23.0,292.0,464.0,3910.0,514.0,131.0,276.0,1059.0,76.0,143.0,1934.0
415.0,27.0,97.0,425.0,4167.0,338.0,754.0,1486.0,16222.0,989.0,23.0,292.0,464.0,3927.0,521.0,131.0,276.0,1063.0,76.0,143.0,1938.0
418.0,27.0,97.0,426.0,4171.0,338.0,758.0,1492.0,16249.0,991.0,23.0,292.0,464.0,3934.0,522.0,131.0,276.0,1068.0,76.0,144.0,1949.0
418.0,27.0,97.0,426.0,4175.0,339.0,760.0,1499.0,16270.0,991.0,23.0,292.0,464.0,3941.0,525.0,131.0,277.0,1070.0,76.0,144.0,1954.0
418.0,27.0,97.0,426.0,4179.0,340.0,763.0,1505.0,16302.0,991.0,23.0,292.0,464.0,3954.0,525.0,131.0,278.0,1074.0,76.0,144.0,1955.0
451.0,27.0,97.0,426.0,4185.0,340.0,766.0,1509.0,16317.0,992.0,23.0,292.0,464.0,3961.0,526.0,131.0,278.0,1077.0,76.0,144.0,1961.0
453.0,27.0,97.0,428.0,4192.0,341.0,770.0,1513.0,16349.0,992.0,23.0,292.0,464.0,3976.0,529.0,131.0,278.0,1078.0,76.0,144.0,1961.0
453.0,27.0,97.0,430.0,4192.0,342.0,776.0,1514.0,16374.0,992.0,23.0,292.0,464.0,3988.0,530.0,131.0,279.0,1079.0,76.0,144.0,1964.0
453.0,27.0,97.0,430.0,4196.0,342.0,781.0,1516.0,16405.0,993.0,23.0,291.0,464.0,3996.0,532.0,131.0,279.0,1080.0,76.0,144.0,1967.0
454.0,27.0,97.0,430.0,4199.0,343.0,806.0,1518.0,16428.0,993.0,23.0,291.0,464.0,4006.0,532.0,132.0,279.0,1082.0,76.0,144.0,1977.0
456.0,27.0,97.0,430.0,4204.0,343.0,808.0,1521.0,16449.0,993.0,23.0,291.0,464.0,4012.0,532.0,132.0,279.0,1085.0,77.0,144.0,1978.0
456.0,27.0,97.0,430.0,4207.0,343.0,811.0,1525.0,16457.0,993.0,23.0,292.0,465.0,4012.0,534.0,132.0,280.0,1088.0,77.0,144.0,1978.0
457.0,27.0,97.0,430.0,4209.0,343.0,814.0,1529.0,16466.0,994.0,23.0,292.0,465.0,4018.0,535.0,132.0,280.0,1091.0,77.0,144.0,1982.0
457.0,27.0,97.0,431.0,4215.0,343.0,818.0,1532.0,16480.0,994.0,23.0,292.0,465.0,4026.0,536.0,132.0,280.0,1092.0,77.0,144.0,1987.0
458.0,27.0,97.0,431.0,4219.0,343.0,822.0,1536.0,16516.0,994.0,23.0,292.0,465.0,4032.0,538.0,132.0,280.0,1093.0,77.0,145.0,1994.0
459.0,27.0,97.0,431.0,4224.0,343.0,826.0,1540.0,16534.0,994.0,23.0,292.0,466.0,4039.0,538.0,132.0,280.0,1095.0,77.0,146.0,1998.0
459.0,27.0,97.0,431.0,4230.0,344.0,827.0,1545.0,16557.0,994.0,23.0,292.0,466.0,4045.0,540.0,132.0,280.0,1095.0,78.0,146.0,2002.0
459.0,27.0,97.0,431.0,4231.0,344.0,827.0,1549.0,16570.0,994.0,23.0,292.0,466.0,4051.0,540.0,132.0,280.0,1095.0,78.0,146.0,2002.0
460.0,27.0,97.0,431.0,4235.0,344.0,830.0,1552.0,16573.0,994.0,23.0,292.0,466.0,4055.0,540.0,132.0,280.0,1099.0,78.0,146.0,2003.0
460.0,27.0,97.0,431.0,4236.0,344.0,832.0,1553.0,16579.0,994.0,23.0,292.0,466.0,4059.0,542.0,132.0,280.0,1100.0,78.0,146.0,2004.0
461.0,27.0,97.0,431.0,4245.0,344.0,833.0,1555.0,16586.0,994.0,23.0,292.0,405.0,4066.0,543.0,132.0,280.0,1101.0,79.0,146.0,2004.0
461.0,27.0,97.0,431.0,4249.0,345.0,835.0,1556.0,16608.0,991.0,23.0,292.0,405.0,4071.0,543.0,132.0,280.0,1101.0,79.0,146.0,2006.0
461.0,27.0,97.0,431.0,4252.0,345.0,836.0,1556.0,16624.0,991.0,23.0,292.0,405.0,4077.0,543.0,132.0,281.0,1103.0,79.0,146.0,2007.0
461.0,27.0,97.0,431.0,4252.0,345.0,837.0,1557.0,16626.0,991.0,23.0,292.0,405.0,4080.0,543.0,132.0,281.0,1103.0,80.0,146.0,2007.0
462.0,27.0,97.0,431.0,4253.0,345.0,837.0,1558.0,16639.0,991.0,23.0,292.0,405.0,4085.0,543.0,132.0,281.0,1103.0,80.0,146.0,2008.0
462.0,27.0,97.0,431.0,4255.0,345.0,837.0,1558.0,16640.0,991.0,23.0,292.0,405.0,4087.0,543.0,132.0,281.0,1104.0,80.0,146.0,2008.0
464.0,27.0,97.0,432.0,4260.0,345.0,837.0,1558.0,16644.0,991.0,23.0,292.0,405.0,4090.0,545.0,133.0,282.0,1104.0,80.0,146.0,2012.0
464.0,27.0,97.0,432.0,4264.0,345.0,839.0,1558.0,16650.0,987.0,23.0,292.0,405.0,4091.0,545.0,133.0,282.0,1106.0,80.0,146.0,2022.0
464.0,27.0,97.0,432.0,4265.0,345.0,839.0,1558.0,16671.0,987.0,23.0,292.0,405.0,4096.0,545.0,133.0,282.0,1109.0,80.0,146.0,2022.0
464.0,27.0,97.0,432.0,4267.0,345.0,840.0,1558.0,16675.0,987.0,23.0,292.0,405.0,4100.0,545.0,133.0,282.0,1112.0,80.0,146.0,2023.0
464.0,27.0,97.0,432.0,4267.0,345.0,841.0,1558.0,16691.0,987.0,23.0,292.0,405.0,4102.0,545.0,133.0,282.0,1114.0,80.0,146.0,2023.0
464.0,27.0,97.0,432.0,4268.0,345.0,841.0,1558.0,16697.0,987.0,23.0,292.0,405.0,4102.0,545.0,133.0,282.0,1114.0,80.0,146.0,2023.0
464.0,27.0,97.0,432.0,4268.0,345.0,842.0,1558.0,16700.0,987.0,23.0,292.0,405.0,4104.0,545.0,134.0,282.0,1114.0,80.0,146.0,2024.0
