Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
107.0,0.0,18.0,140.0,319.0,27.0,531.0,148.0,3080.0,55.0,2.0,12.0,9.0,783.0,116.0,11.0,60.0,78.0,14.0,9.0,98.0
99.0,0.0,18.0,104.0,291.0,26.0,526.0,140.0,2950.0,49.0,2.0,9.0,7.0,721.0,113.0,11.0,54.0,71.0,13.0,7.0,84.0
92.0,0.0,18.0,92.0,277.0,26.0,516.0,132.0,2908.0,43.0,2.0,9.0,7.0,697.0,100.0,11.0,49.0,72.0,12.0,6.0,82.0
93.0,0.0,18.0,88.0,270.0,25.0,515.0,130.0,2815.0,43.0,2.0,9.0,8.0,669.0,98.0,10.0,47.0,70.0,12.0,7.0,83.0
95.0,1.0,18.0,76.0,257.0,23.0,509.0,124.0,2756.0,32.0,2.0,9.0,7.0,638.0,81.0,10.0,45.0,63.0,14.0,7.0,77.0
88.0,1.0,18.0,76.0,253.0,26.0,415.0,113.0,2663.0,29.0,2.0,9.0,7.0,599.0,75.0,10.0,46.0,55.0,15.0,3.0,66.0
86.0,1.0,17.0,76.0,234.0,22.0,366.0,110.0,2585.0,26.0,2.0,10.0,6.0,577.0,68.0,11.0,42.0,57.0,13.0,6.0,52.0
80.0,1.0,17.0,63.0,217.0,18.0,340.0,106.0,2454.0,22.0,2.0,10.0,6.0,557.0,63.0,11.0,37.0,50.0,11.0,6.0,49.0
76.0,1.0,16.0,69.0,207.0,15.0,348.0,94.0,2348.0,22.0,0.0,9.0,6.0,537.0,62.0,12.0,36.0,49.0,11.0,7.0,42.0
75.0,1.0,16.0,55.0,206.0,16.0,342.0,88.0,2210.0,21.0,0.0,10.0,6.0,543.0,59.0,12.0,35.0,50.0,10.0,7.0,41.0
74.0,1.0,18.0,60.0,201.0,16.0,341.0,89.0,2112.0,18.0,0.0,9.0,5.0,545.0,58.0,12.0,34.0,47.0,10.0,7.0,39.0
70.0,1.0,18.0,59.0,191.0,14.0,346.0,78.0,1971.0,19.0,1.0,9.0,2.0,500.0,50.0,13.0,36.0,48.0,9.0,6.0,37.0
63.0,1.0,18.0,50.0,184.0,16.0,322.0,75.0,1855.0,21.0,1.0,9.0,2.0,473.0,48.0,11.0,28.0,47.0,9.0,5.0,38.0
