Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
1.0,0.0,0.0,11.0,44.0,0.0,6.0,1.0,88.0,4.0,0.0,1.0,0.0,22.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0
1.0,0.0,0.0,17.0,47.0,0.0,12.0,14.0,170.0,2.0,0.0,0.0,3.0,20.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0
1.0,0.0,3.0,3.0,46.0,2.0,13.0,4.0,156.0,2.0,1.0,0.0,4.0,15.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0
0.0,0.0,1.0,0.0,42.0,0.0,18.0,5.0,77.0,2.0,0.0,2.0,1.0,11.0,0.0,1.0,1.0,12.0,0.0,0.0,2.0
1.0,0.0,1.0,0.0,21.0,1.0,14.0,4.0,97.0,0.0,0.0,1.0,3.0,14.0,0.0,1.0,0.0,5.0,0.0,0.0,11.0
1.0,1.0,0.0,1.0,16.0,0.0,9.0,7.0,78.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0
0.0,0.0,1.0,24.0,20.0,0.0,5.0,3.0,62.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,2.0,2.0,1.0,1.0,8.0
2.0,0.0,0.0,9.0,16.0,4.0,9.0,5.0,109.0,5.0,0.0,3.0,1.0,16.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0
3.0,0.0,0.0,3.0,27.0,2.0,11.0,2.0,98.0,3.0,0.0,0.0,1.0,13.0,0.0,2.0,9.0,4.0,3.0,0.0,20.0
6.0,2.0,1.0,10.0,27.0,4.0,11.0,3.0,115.0,0.0,0.0,0.0,6.0,16.0,3.0,1.0,1.0,9.0,2.0,1.0,5.0
7.0,0.0,1.0,2.0,51.0,8.0,31.0,4.0,95.0,0.0,0.0,3.0,2.0,11.0,3.0,0.0,3.0,9.0,1.0,0.0,4.0
4.0,0.0,0.0,5.0,24.0,0.0,14.0,8.0,98.0,1.0,0.0,2.0,0.0,18.0,0.0,1.0,0.0,9.0,0.0,0.0,8.0
0.0,0.0,0.0,27.0,38.0,0.0,19.0,2.0,111.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,31.0,1.0,5.0,2.0,53.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,19.0,0.0,0.0,14.0
1.0,1.0,1.0,3.0,49.0,4.0,14.0,3.0,71.0,3.0,0.0,2.0,0.0,25.0,1.0,0.0,1.0,7.0,0.0,0.0,7.0
8.0,0.0,0.0,5.0,29.0,1.0,28.0,4.0,119.0,4.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
3.0,0.0,1.0,7.0,53.0,1.0,23.0,15.0,135.0,1.0,0.0,5.0,3.0,10.0,4.0,1.0,0.0,2.0,1.0,0.0,11.0
2.0,1.0,2.0,7.0,47.0,2.0,19.0,6.0,67.0,4.0,0.0,3.0,2.0,9.0,1.0,0.0,1.0,5.0,0.0,0.0,10.0
5.0,0.0,28.0,3.0,71.0,0.0,20.0,0.0,77.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0
0.0,0.0,0.0,7.0,18.0,0.0,24.0,1.0,94.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,13.0,3.0,18.0,6.0,30.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,15.0,4.0,0.0,0.0,19.0
3.0,0.0,2.0,8.0,18.0,1.0,20.0,4.0,63.0,0.0,0.0,3.0,0.0,8.0,0.0,2.0,0.0,8.0,2.0,0.0,21.0
2.0,0.0,8.0,4.0,46.0,4.0,9.0,8.0,80.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,17.0,12.0,0.0,0.0,29.0
1.0,0.0,5.0,12.0,54.0,3.0,14.0,2.0,55.0,3.0,0.0,4.0,0.0,8.0,5.0,0.0,4.0,6.0,2.0,0.0,55.0
1.0,0.0,7.0,15.0,40.0,4.0,20.0,18.0,88.0,3.0,0.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,0.0,34.0
1.0,3.0,1.0,9.0,51.0,2.0,17.0,23.0,33.0,0.0,0.0,1.0,1.0,3.0,7.0,1.0,2.0,16.0,0.0,0.0,48.0
6.0,0.0,0.0,6.0,42.0,4.0,14.0,12.0,56.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0
2.0,0.0,0.0,6.0,18.0,2.0,6.0,12.0,34.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,2.0,9.0,3.0,0.0,22.0
0.0,36.0,4.0,19.0,57.0,2.0,16.0,7.0,51.0,1.0,4.0,0.0,20.0,13.0,0.0,1.0,7.0,6.0,2.0,0.0,36.0
10.0,3.0,2.0,16.0,55.0,3.0,26.0,15.0,82.0,1.0,9.0,1.0,30.0,9.0,9.0,2.0,5.0,4.0,2.0,0.0,22.0
4.0,0.0,1.0,6.0,63.0,5.0,18.0,5.0,53.0,1.0,1.0,1.0,16.0,11.0,13.0,3.0,8.0,11.0,2.0,0.0,30.0
3.0,1.0,1.0,21.0,49.0,5.0,19.0,3.0,79.0,2.0,3.0,6.0,2.0,16.0,8.0,3.0,13.0,10.0,0.0,0.0,31.0
1.0,0.0,0.0,11.0,61.0,2.0,19.0,3.0,74.0,7.0,3.0,5.0,6.0,12.0,3.0,0.0,14.0,15.0,0.0,0.0,19.0
9.0,1.0,0.0,14.0,33.0,0.0,13.0,24.0,34.0,2.0,3.0,2.0,1.0,4.0,3.0,0.0,3.0,8.0,0.0,0.0,16.0
1.0,0.0,5.0,29.0,20.0,0.0,10.0,3.0,53.0,11.0,0.0,2.0,0.0,12.0,4.0,6.0,19.0,3.0,0.0,10.0,24.0
4.0,0.0,3.0,19.0,28.0,3.0,34.0,20.0,46.0,17.0,1.0,5.0,4.0,14.0,10.0,2.0,18.0,17.0,0.0,2.0,42.0
4.0,0.0,7.0,16.0,35.0,13.0,18.0,13.0,88.0,8.0,0.0,6.0,3.0,10.0,3.0,0.0,39.0,11.0,0.0,0.0,112.0
5.0,3.0,4.0,9.0,36.0,3.0,18.0,4.0,77.0,21.0,1.0,15.0,2.0,21.0,2.0,10.0,16.0,14.0,1.0,0.0,117.0
